papel;cotacao;pl;pvp;psr;dy;pa;pcg;pebit;pacl;evebit;evebitda;mrgebit;mrgliq;roic;roe;liqc;liq2m;patrliq;divbpatr;c5y
AALR3;4.46;-8.44;0.64;0.548;0.0;0.224;155.39;7.88;-0.61;12.08;6.23;0.0696;-0.057;0.0313;-0.0754;1.01;238001.0;1066930000.0;0.46;0.023399999999999997
ABCB3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1447;0.0;0.0;6700380000.0;0.0;0.16260000000000002
ABCB4;23.91;6.03;0.87;0.0;0.10949999999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1447;0.0;12863000.0;6700380000.0;0.0;0.16260000000000002
ABEV3;13.9;13.66;2.38;2.422;0.0801;1.557;40.85;10.58;-36.0;9.77;7.38;0.2288;0.1822;0.2018;0.1743;1.15;442413000.0;92027400000.0;0.03;0.058899999999999994
ABYA3;4.91;-214.8;1.76;2.055;0.0;0.527;1.98;19.96;-2.75;33.67;33.67;0.10289999999999999;-0.0096;0.0278;-0.008199999999999999;2.09;0.0;292060000.0;1.31;0.1641
ACES3;95.27;8.79;2.28;1.693;0.0;1.438;6.4;7.2;20.77;6.54;6.54;0.2352;0.19269999999999998;0.26899999999999996;0.2595;2.05;0.0;3105800000.0;0.09;0.1334
ACES4;94.73;8.74;2.27;1.683;0.0;1.43;6.37;7.16;20.65;6.5;6.5;0.2352;0.19269999999999998;0.26899999999999996;0.2595;2.05;0.0;3105800000.0;0.09;0.1334
ADHM3;1.56;-4.09;-1.29;770.924;0.0;105.126;-1.43;-5.69;-1.27;-5.69;-5.81;-135.485;-188.606;5.2170000000000005;0.3147;0.0;2064.0;-19776000.0;0.0;0.43479999999999996
ADMF3;12.0;-0.17;1.55;1.771;0.0;0.222;1.4;8.21;1.89;0.0;0.0;0.21559999999999999;-10.607899999999999;0.2742;-9.2832;1.19;36140.0;45164000.0;4.74;0.0
AEDU11;37.35;20.13;1.13;1.405;0.0;0.732;5.77;13.93;-7.31;16.14;10.82;0.1008;0.0698;0.057699999999999994;0.055999999999999994;2.04;0.0;2415400000.0;0.3;0.209
AEDU3;18.35;59.34;3.32;4.141;0.0;2.159;17.0;41.06;-21.55;43.27;29.01;0.1008;0.0698;0.057699999999999994;0.055999999999999994;2.04;0.0;2415400000.0;0.3;0.209
AELP3;1.93;8.49;-200.57;-0.062;0.0;5.216;0.0;-12.58;0.0;-11.94;-11.98;0.0049;-0.0073;0.0;-23.6383;0.0;0.0;-904000.0;0.0;0.0118
AERI3;3.28;-0.16;-0.98;0.242;0.0;0.104;0.99;-0.23;-0.14;-2.2;-2.46;-1.0377;-1.4783000000000002;-0.4838;5.9824;1.39;293383.0;-208276000.0;-8.41;-0.23800000000000002
AESB3;8.11;-14.68;1.8;1.888;0.0;0.382;-50.48;7.83;-0.67;17.95;9.78;0.2412;-0.09720000000000001;0.056900000000000006;-0.1223;0.95;0.0;4261350000.0;2.88;0.3086
AESL3;10081.9;0.0;1.79;0.0;0.0;0.529;-26.64;0.0;-1.03;0.0;0.0;0.0;0.0;0.0;0.0;0.91;0.0;6327400000.0;1.43;0.0687
AFLT3;7.45;13.48;1.84;5.77;0.06280000000000001;1.247;5.97;9.41;-347.88;9.2;9.23;0.6129;0.428;0.1483;0.1365;2.9;1807.75;255393000.0;0.11;0.045599999999999995
AFLU3;5.15;9.15;2.19;2.981;0.0;1.919;9.86;8.52;12.21;7.57;7.24;0.34979999999999994;0.3259;0.3118;0.23929999999999998;3.27;0.0;44270000.0;0.0;0.0861
AFLU5;5.03;8.93;2.14;2.911;0.0;1.875;9.63;8.32;11.92;7.38;7.05;0.34979999999999994;0.3259;0.3118;0.23929999999999998;3.27;0.0;44270000.0;0.0;0.0861
AGEI3;7.8;0.0;1.25;0.0;0.0;0.47;1.39;0.0;-12.59;0.0;0.0;0.0;0.0;0.0;0.0;2.45;0.0;1878210000.0;1.01;0.0
AGEN33;0.16;0.39;-0.03;0.0;0.0;0.066;-0.17;0.11;-0.02;3.73;3.61;0.0;0.0;0.8767;-0.0885;0.09;0.0;-1112630000.0;-1.11;-0.8703
AGIN3;5.29;8.46;1.23;1.816;0.0;0.565;1.29;10.92;3.55;14.68;14.68;0.1663;0.2183;0.0559;0.1456;2.72;0.0;1028210000.0;0.55;0.44170000000000004
AGRO3;20.15;-87.25;0.98;2.023;0.0374;0.541;4.33;29.14;-3.87;44.5;22.77;0.0694;-0.0232;0.0212;-0.0113;1.67;3485020.0;2103470000.0;0.63;-0.0999
